가렌;GAREN
갈리오;GALIO
갱플랭크;GANGPLANK
그라가스;GRAGAS
그레이브즈;GRAVES
나르;GNAR
나미;NAMI
나서스;NASUS
노틸러스;NAUTILUS
녹턴;NOCTURNE
누누와윌럼프;NUNU
누누;NUNU
니달리;NIDALEE
니코;NEEKO
다리우스;DARIUS
다이애나;DIANA
드레이븐;DRAVEN
라이즈;RYZE
라칸;RAKAN
람머스;RAMMUS
럭스;LUX
럼블;RUMBLE
레넥톤;RENEKTON
레오나;LEONA
렉사이;REKSAI
렐;RELL
렝가;RENGAR
루시안;LUCIAN
룰루;LULU
르블랑;LEBLANC
리신;LEESIN
리븐;RIVEN
리산드라;LISSANDRA
릴리아;LILLIA
마스터이;MASTERYI
마이;MASTERYI
마오카이;MAOKAI
말자하;MALZAHAR
말파이트;MALPHITE
모데카이저;MORDEKAISER
모르가나;MORGANA
문도박사;DRMUNDO
문도;DRMUNDO
미스포츈;MISSFORTUNE
미포;MISSFORTUNE
바드;BARD
바루스;VARUS
바이;VI
베이가;VEIGAR
베인;VAYNE
벨코즈;VELKOZ
볼리베어;VOLIBEAR
브라움;BRAUM
브랜드;BRAND
블라디미르;VLADIMIR
블리츠크랭크;BLITZCRANK
블츠;BLITZCRANK
비에고;VIEGO
빅토르;VIKTOR
뽀삐;POPPY
사미라;SAMIRA
사이온;SION
사일러스;SYLAS
샤코;SHACO
세나;SENNA
세라핀;SERAPHINE
세주아니;SEJUANI
세트;SETT
소나;SONA
소라카;SORAKA
쉔;SHEN
쉬바나;SHYVANA
스웨인;SWAIN
스카너;SKARNER
시비르;SIVIR
신짜오;XINZHAO
신드라;SYNDRA
신지드;SINGED
쓰레쉬;THRESH
아리;AHRI
아무무;AMUMU
아우렐리온;솔;AURELIONSOL
아우솔;AURELIONSOL
아이번;IVERN
아지르;AZIR
아칼리;AKALI
아트록스;AATROX
아펠리오스;APHELIOS
아펠;APHELIOS
알리스타;ALISTAR
애니;ANNIE
애니비아;ANIVIA
애쉬;ASHE
야스오;YASUO
에코;EKKO
엘리스;ELISE
오공;WUKONG
오른;ORNN
오리아나;ORIANNA
올라프;OLAF
요네;YONE
요릭;YORICK
우디르;UDYR
우르곳;URGOT
워윅;WARWICK
유미;YUUMI
이렐리아;IRELIA
이블린;EVELYNN
이즈리얼;EZREAL
일라오이;ILLAOI
자르반4세;JARVANIV
자르반;JARVANIV
자야;XAYAH
자이라;ZYRA
자크;ZAC
잔나;JANNA
잭스;JAX
제드;ZED
제라스;XERATH
제이스;JAYCE
조이;ZOE
직스;ZIGGS
진;JHIN
질리언;ZILEAN
징크스;JINX
초가스;CHOGATH
카르마;KARMA
카밀;CAMILLE
카사딘;KASSADIN
카서스;KARTHUS
카시오페아;CASSIOPEIA
카시;CASSIOPEIA
카이사;KAISA
카직스;KHAZIX
카타리나;KATARINA
칼리스타;KALISTA
케넨;KENNEN
케이틀린;CAITLYN
케인;KAYN
케일;KAYLE
코그모;KOGMAW
코르키;CORKI
퀸;QUINN
클레드;KLED
키아나;QIYANA
킨드레드;KINDRED
타릭;TARIC
탈론;TALON
탈리야;TALIYAH
탐켄치;TAHMKENCH
트런들;TRUNDLE
트리스타나;TRISTANA
트린다미어;TRYNDAMERE
트위스티드페이트;TWISTEDFATE
트페;TWISTEDFATE
트위치;TWITCH
티모;TEEMO
파이크;PYKE
판테온;PANTHEON
피들스틱;FIDDLESTICKS
피오라;FIORA
피즈;FIZZ
하이머딩거;HEIMERDINGER
헤카림;HECARIM
그웬;GWEN
아크샨;AKSHAN
벡스;VEX
제리;ZERI
레나타글라스크;RENATAGLASC
레나타;RENATAGLASC
벨베스;BELVETH
닐라;NILAH
